epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5658,2.18371,6.40724,1.63577,0.55016,0.11754,0.12142,0.04983,2.02814,2.38641,1.58218,0.0669682,0.000165989,0.000165989
2,174.719,2.06012,2.98731,1.49946,0.5887,0.08281,0.12181,0.06266,1.82258,2.51018,1.37578,0.0337968,0.000327951,0.000327951
3,261.842,1.98277,2.78746,1.47586,0.8057,0.12464,0.18393,0.08507,1.87907,2.40144,1.43228,0.0006207,0.000485199,0.000485199
4,349.18,2.16436,2.94939,1.50338,0.57915,0.10568,0.18287,0.09886,1.85865,2.55669,1.43687,0.000478786,0.000478786,0.000478786
5,436.529,2.05181,2.65393,1.5011,0.36786,0.28279,0.16135,0.07842,1.83935,2.17483,1.41123,0.000471714,0.000471714,0.000471714
6,523.783,2.05466,2.52128,1.44506,0.35217,0.33022,0.27489,0.11744,1.86799,2.11932,1.42229,0.000464643,0.000464643,0.000464643
7,611.372,1.9833,2.40917,1.48076,0.57804,0.12755,0.17122,0.08761,1.83704,2.23993,1.38619,0.000457571,0.000457571,0.000457571
8,698.918,1.97932,2.37207,1.48773,0.8409,0.12848,0.21209,0.10883,1.82621,2.06456,1.36987,0.0004505,0.0004505,0.0004505
9,786.412,1.88737,2.28133,1.37091,0.81306,0.14867,0.21078,0.1181,1.71262,1.77626,1.35446,0.000443429,0.000443429,0.000443429
10,873.888,1.82869,2.13942,1.37793,0.60393,0.22,0.20658,0.11885,1.78567,2.15582,1.41791,0.000436357,0.000436357,0.000436357
11,961.393,1.82044,2.0789,1.39047,0.62339,0.38589,0.34324,0.16367,1.75294,1.76777,1.41908,0.000429286,0.000429286,0.000429286
12,1049.02,1.81764,2.1921,1.35985,0.63337,0.19241,0.22615,0.11824,1.74546,1.925,1.37906,0.000422214,0.000422214,0.000422214
13,1136.5,1.78826,2.09636,1.32493,0.5484,0.16005,0.18744,0.11502,1.63691,1.77837,1.30381,0.000415143,0.000415143,0.000415143
14,1224.02,1.73664,2.06384,1.35877,0.5864,0.30481,0.27,0.1247,1.68961,1.74821,1.36041,0.000408071,0.000408071,0.000408071
15,1311.81,1.82242,2.1652,1.34187,0.64812,0.28347,0.2553,0.12992,1.73285,1.72088,1.31013,0.000401,0.000401,0.000401
16,1399.47,1.78103,2.12768,1.34702,0.52047,0.15793,0.18734,0.10878,1.6067,1.70565,1.31519,0.000393929,0.000393929,0.000393929
17,1487.12,1.78302,2.1252,1.35637,0.61133,0.18062,0.33139,0.17427,1.63366,1.72639,1.29807,0.000386857,0.000386857,0.000386857
18,1574.98,1.75391,1.92904,1.33843,0.64258,0.36948,0.23482,0.14076,1.60419,1.6494,1.2527,0.000379786,0.000379786,0.000379786
19,1662.73,1.67533,1.90163,1.28676,0.92116,0.15325,0.28961,0.15435,1.63033,1.59072,1.26616,0.000372714,0.000372714,0.000372714
20,1750.61,1.73049,1.94284,1.32405,0.67124,0.38548,0.41484,0.23173,1.63434,1.43496,1.32962,0.000365643,0.000365643,0.000365643
21,1838.51,1.60878,1.8149,1.25467,0.80369,0.3066,0.35535,0.19042,1.55248,1.49429,1.24401,0.000358571,0.000358571,0.000358571
22,1926.21,1.62886,1.89308,1.25525,0.59687,0.47392,0.46394,0.2674,1.51809,1.52499,1.27032,0.0003515,0.0003515,0.0003515
23,2013.92,1.58922,1.829,1.2988,0.79971,0.21452,0.29183,0.15029,1.58689,1.58623,1.29482,0.000344429,0.000344429,0.000344429
