epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.475,2.09796,3.69342,6.98995,1.55913,0.50613,0.10091,0.09327,0.04754,0.48338,0.0976,0.08459,0.04299,2.01961,4.85247,2.47887,1.45629,0.0669682,0.000165989,0.000165989
2,220.373,2.10755,3.27964,3.0163,1.46194,0.5454,0.13988,0.13451,0.067,0.50542,0.1336,0.11805,0.05755,1.93242,3.60996,2.37483,1.48663,0.0337974,0.000328539,0.000328539
3,330.292,2.08873,3.20882,2.77374,1.47081,0.58171,0.09996,0.1265,0.06468,0.52037,0.095,0.11101,0.05326,1.95899,3.23032,2.61279,1.47499,0.000622466,0.000486964,0.000486964
4,440.192,2.17159,3.12319,2.86385,1.49232,0.56318,0.11343,0.25488,0.10443,0.5201,0.1169,0.12561,0.06553,1.93176,2.98301,2.3513,1.41482,0.000481438,0.000481438,0.000481438
5,550.25,2.08589,3.05677,2.70296,1.46672,0.52784,0.14037,0.15407,0.07444,0.50418,0.13459,0.13458,0.06985,2.00776,3.03147,2.15613,1.41391,0.00047525,0.00047525,0.00047525
6,660.053,2.07836,3.05081,2.48695,1.42669,0.58383,0.16161,0.20042,0.11537,0.53438,0.15414,0.18784,0.08628,1.91795,2.81825,2.26476,1.42991,0.000469063,0.000469063,0.000469063
7,769.984,2.02118,2.88489,2.51246,1.47392,0.5542,0.14073,0.21299,0.10478,0.5142,0.14583,0.14733,0.07297,1.88371,2.79475,2.302,1.37554,0.000462875,0.000462875,0.000462875
8,879.754,1.96152,3.00106,2.52673,1.44599,0.88578,0.13079,0.19218,0.10463,0.85397,0.12304,0.17461,0.08589,1.83681,2.90427,2.07456,1.35955,0.000456687,0.000456687,0.000456687
9,989.499,1.92422,2.94605,2.43633,1.35012,0.68957,0.33694,0.29588,0.13475,0.5354,0.13408,0.16543,0.08485,1.7795,2.82994,1.9387,1.32416,0.0004505,0.0004505,0.0004505
10,1099.54,1.89326,2.76683,2.26225,1.37363,0.52285,0.2693,0.26661,0.13211,0.45597,0.20134,0.20573,0.10819,1.75338,2.65522,1.73973,1.36351,0.000444312,0.000444312,0.000444312
11,1209.59,1.86824,2.85144,2.18302,1.352,0.79281,0.16336,0.18157,0.09964,0.78181,0.1614,0.17737,0.09596,1.73748,2.79088,2.13001,1.27085,0.000438125,0.000438125,0.000438125
12,1319.68,1.84223,2.84736,2.3029,1.35797,0.56768,0.33187,0.19649,0.11034,0.52353,0.32672,0.18162,0.08441,1.69691,2.71431,2.01878,1.30807,0.000431938,0.000431938,0.000431938
13,1429.79,1.86565,2.84848,2.30154,1.31288,0.57145,0.17793,0.20734,0.11556,0.54196,0.16966,0.17599,0.09869,1.74332,2.64178,1.95418,1.31087,0.00042575,0.00042575,0.00042575
14,1539.76,1.77808,2.88559,2.23212,1.33657,0.57813,0.23971,0.21745,0.11571,0.52273,0.17305,0.20059,0.10355,1.78094,2.63469,1.80307,1.30477,0.000419563,0.000419563,0.000419563
15,1649.97,1.8735,2.8612,2.20949,1.31443,0.53911,0.19564,0.22964,0.12246,0.56092,0.16805,0.19378,0.10654,1.70264,2.61516,1.664,1.27595,0.000413375,0.000413375,0.000413375
16,1760.04,1.83337,2.76262,2.089,1.31366,0.77875,0.18028,0.19987,0.11456,0.74177,0.17002,0.1814,0.09766,1.71071,2.49086,1.70527,1.25582,0.000407187,0.000407187,0.000407187
17,1870.18,1.79027,2.87099,2.10482,1.30453,0.57808,0.24405,0.19882,0.11608,0.52212,0.1746,0.18449,0.09876,1.75315,2.57053,1.67578,1.33165,0.000401,0.000401,0.000401
18,1980.22,1.79747,2.66332,2.01789,1.31466,0.63736,0.23488,0.22892,0.13966,0.6139,0.22728,0.2148,0.10908,1.61917,2.47078,1.71276,1.21358,0.000394813,0.000394813,0.000394813
19,2090.32,1.69979,2.55675,2.06234,1.2623,0.82579,0.1686,0.25012,0.13577,0.78866,0.16891,0.20057,0.10793,1.63485,2.50013,1.71854,1.24381,0.000388625,0.000388625,0.000388625
20,2200.45,1.75263,2.76659,2.02899,1.29728,0.62801,0.31548,0.26486,0.14823,0.59169,0.24159,0.22089,0.12229,1.60838,2.50477,1.7193,1.24569,0.000382438,0.000382438,0.000382438
21,2310.58,1.69539,2.52351,1.93199,1.24061,0.64169,0.20193,0.25733,0.1471,0.58667,0.18257,0.21173,0.11824,1.62406,2.69013,1.68166,1.27737,0.00037625,0.00037625,0.00037625
22,2420.58,1.70798,2.62071,1.96923,1.25965,0.59999,0.28081,0.2835,0.14684,0.88513,0.15287,0.20333,0.11227,1.62463,2.42213,1.58651,1.26188,0.000370063,0.000370063,0.000370063
23,2530.79,1.63806,2.523,1.86569,1.29108,0.59244,0.27622,0.27461,0.15069,0.516,0.19605,0.20951,0.11834,1.61024,2.3996,1.51357,1.23665,0.000363875,0.000363875,0.000363875
24,2641.11,1.73701,2.63968,1.85311,1.28482,0.60901,0.26383,0.29412,0.15868,0.51999,0.26393,0.23887,0.12199,1.50915,2.52989,1.46857,1.21777,0.000357687,0.000357687,0.000357687
25,2751.36,1.63942,2.55538,1.83567,1.29337,0.84521,0.2012,0.30479,0.16404,0.79452,0.18263,0.23613,0.11663,1.63275,2.4653,1.48006,1.2753,0.0003515,0.0003515,0.0003515
26,2861.64,1.62552,2.537,1.82669,1.19296,0.57581,0.21766,0.30374,0.16657,0.55135,0.20033,0.23315,0.1183,1.61764,2.4382,1.63709,1.2934,0.000345313,0.000345313,0.000345313
27,2972.13,1.56972,2.65009,1.87208,1.22055,0.69893,0.24669,0.33035,0.19249,0.80427,0.1899,0.29738,0.13888,1.55351,2.45706,1.51112,1.22716,0.000339125,0.000339125,0.000339125
28,3082.48,1.66895,2.63316,1.79847,1.19716,0.61019,0.27101,0.35753,0.19955,0.5815,0.18415,0.32893,0.16676,1.62852,2.37743,1.53063,1.27434,0.000332938,0.000332938,0.000332938
29,3192.72,1.56814,2.40378,1.73562,1.2335,0.82141,0.27928,0.35117,0.20414,0.86747,0.19739,0.27643,0.1439,1.52398,2.20442,1.38853,1.22859,0.00032675,0.00032675,0.00032675
30,3302.85,1.57866,2.46353,1.68216,1.2302,0.87053,0.30017,0.43423,0.21467,0.56289,0.26233,0.31215,0.15775,1.53535,2.29306,1.63864,1.21342,0.000320562,0.000320562,0.000320562
31,3413.26,1.61701,2.37177,1.73955,1.20947,0.72649,0.40671,0.46681,0.25106,0.64355,0.28904,0.40913,0.1883,1.48041,2.19373,1.47808,1.1853,0.000314375,0.000314375,0.000314375
32,3523.67,1.58651,2.40513,1.69662,1.20439,0.6384,0.29332,0.42743,0.23857,0.55776,0.23228,0.38359,0.17899,1.48214,2.23829,1.42734,1.18226,0.000308188,0.000308188,0.000308188
33,3633.82,1.49236,2.26005,1.60313,1.17942,0.62976,0.41407,0.47052,0.25082,0.57228,0.33702,0.41133,0.18438,1.44612,2.16924,1.27066,1.17865,0.000302,0.000302,0.000302
34,3744.16,1.50439,2.36507,1.47883,1.19202,0.53204,0.42682,0.41773,0.22367,0.54422,0.33779,0.36596,0.18604,1.53261,2.12019,1.3541,1.22682,0.000295813,0.000295813,0.000295813
35,3854.88,1.5498,2.35859,1.62848,1.1731,0.65474,0.4189,0.49348,0.29269,0.63082,0.41163,0.48506,0.21058,1.48027,2.22619,1.3124,1.18375,0.000289625,0.000289625,0.000289625
