epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9709,2.30759,7.06657,1.51848,0.7431,0.07601,0.08897,0.04487,1.95698,3.03851,1.40491,0.0669682,0.000165989,0.000165989
2,82.7885,2.11668,2.96053,1.41573,0.26389,0.22687,0.18956,0.09169,1.78325,2.37289,1.31852,0.0337968,0.000327951,0.000327951
3,123.201,2.02099,2.81776,1.36944,0.57119,0.11092,0.14996,0.066,1.8819,2.3091,1.30156,0.0006207,0.000485199,0.000485199
4,163.76,2.18742,2.71656,1.38915,0.54479,0.13483,0.18203,0.09597,1.96952,2.11447,1.32522,0.000478786,0.000478786,0.000478786
5,204.858,2.12429,2.56252,1.38218,0.25124,0.22383,0.16668,0.07053,1.92591,2.15415,1.29668,0.000471714,0.000471714,0.000471714
6,245.788,2.07034,2.54101,1.32974,0.35318,0.27447,0.22173,0.11562,1.79399,2.11872,1.25082,0.000464643,0.000464643,0.000464643
7,286.164,1.97844,2.32704,1.33716,0.52882,0.15802,0.17738,0.1055,1.75833,1.94,1.25313,0.000457571,0.000457571,0.000457571
8,326.86,1.91155,2.32842,1.34835,0.82744,0.16293,0.26421,0.14076,1.7243,2.17067,1.26396,0.0004505,0.0004505,0.0004505
9,368.04,1.87652,2.27502,1.25667,0.60818,0.2882,0.32039,0.14799,1.81678,1.76454,1.21145,0.000443429,0.000443429,0.000443429
10,408.639,1.86094,2.13926,1.26939,0.87111,0.13631,0.18823,0.1065,1.71756,1.9527,1.26207,0.000436357,0.000436357,0.000436357
11,449.398,1.8786,2.02683,1.30804,0.58493,0.34084,0.2968,0.14344,1.71537,1.83289,1.22533,0.000429286,0.000429286,0.000429286
12,490.298,1.83466,2.18122,1.26476,0.60496,0.23194,0.35027,0.14947,1.73046,1.8405,1.24233,0.000422214,0.000422214,0.000422214
13,531.186,1.85682,2.1655,1.22452,0.34024,0.1557,0.18986,0.11107,1.69288,1.74814,1.21339,0.000415143,0.000415143,0.000415143
14,572.048,1.73572,2.06038,1.24616,0.72927,0.29391,0.31953,0.13837,1.79267,1.66099,1.24383,0.000408071,0.000408071,0.000408071
15,612.579,1.87766,2.04473,1.2435,0.37581,0.29249,0.33415,0.18038,1.62204,1.46851,1.21617,0.000401,0.000401,0.000401
16,653.307,1.80514,1.92888,1.25018,0.56202,0.16948,0.25365,0.1332,1.65327,1.7562,1.17118,0.000393929,0.000393929,0.000393929
17,694.06,1.77818,2.0052,1.22283,0.77506,0.2485,0.40473,0.23387,1.5863,1.80927,1.15939,0.000386857,0.000386857,0.000386857
18,734.752,1.74804,1.7812,1.22204,0.55615,0.26034,0.26615,0.15066,1.66626,1.62491,1.17878,0.000379786,0.000379786,0.000379786
19,775.502,1.67337,1.83377,1.17228,0.63594,0.3541,0.40968,0.21092,1.61371,1.55635,1.1584,0.000372714,0.000372714,0.000372714
20,816.197,1.74576,1.90781,1.21984,0.36164,0.35594,0.28302,0.15932,1.61773,1.52656,1.17392,0.000365643,0.000365643,0.000365643
21,857.101,1.63237,1.7713,1.13061,0.38476,0.19732,0.25728,0.14125,1.63746,1.54586,1.14313,0.000358571,0.000358571,0.000358571
22,897.886,1.66532,1.83767,1.13927,0.57492,0.55163,0.44956,0.21027,1.59251,1.4432,1.1452,0.0003515,0.0003515,0.0003515
23,938.766,1.62848,1.74997,1.19398,0.67113,0.27359,0.41027,0.19541,1.6034,1.51708,1.15064,0.000344429,0.000344429,0.000344429
24,979.638,1.65364,1.71733,1.16339,0.68575,0.32254,0.41004,0.21239,1.55698,1.59102,1.13377,0.000337357,0.000337357,0.000337357
25,1020.45,1.63028,1.70619,1.19709,0.55368,0.36574,0.36199,0.20626,1.52171,1.4918,1.10364,0.000330286,0.000330286,0.000330286
26,1061.05,1.60757,1.73039,1.11973,0.58206,0.26006,0.37423,0.21058,1.50415,1.47421,1.10053,0.000323214,0.000323214,0.000323214
27,1101.86,1.57374,1.63814,1.14843,0.45624,0.3705,0.44442,0.2366,1.51833,1.33859,1.12907,0.000316143,0.000316143,0.000316143
28,1142.72,1.65771,1.63522,1.12768,0.85044,0.25392,0.4481,0.23341,1.48959,1.51501,1.08062,0.000309071,0.000309071,0.000309071
29,1183.19,1.57453,1.58484,1.15858,0.69392,0.44505,0.48303,0.24774,1.49473,1.32668,1.10779,0.000302,0.000302,0.000302
30,1224.11,1.59542,1.60733,1.11978,0.57251,0.2994,0.36889,0.20942,1.50176,1.43979,1.10862,0.000294929,0.000294929,0.000294929
31,1264.95,1.59524,1.57684,1.14112,0.58651,0.35284,0.36158,0.20788,1.41975,1.32583,1.07332,0.000287857,0.000287857,0.000287857
32,1305.51,1.60447,1.61745,1.13619,0.66197,0.3527,0.37586,0.2199,1.48934,1.35007,1.11313,0.000280786,0.000280786,0.000280786
33,1345.81,1.47554,1.47458,1.11825,0.69372,0.35993,0.46913,0.25437,1.42018,1.40442,1.08087,0.000273714,0.000273714,0.000273714
34,1386.29,1.5176,1.36354,1.12399,0.49314,0.46225,0.42164,0.22584,1.48041,1.34107,1.07889,0.000266643,0.000266643,0.000266643
35,1426.67,1.56404,1.53227,1.10667,0.81807,0.33429,0.48045,0.25791,1.47268,1.22033,1.10424,0.000259571,0.000259571,0.000259571
36,1467.07,1.52252,1.44133,1.10896,0.83897,0.33318,0.45651,0.25842,1.44157,1.29099,1.08657,0.0002525,0.0002525,0.0002525
