epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9825,2.24393,4.10094,5.94538,1.54219,0.5697,0.08848,0.13209,0.05733,0.47564,0.05522,0.07517,0.02769,2.13404,7.18334,2.71444,1.62612,0.0671341,0.000331978,0.000331978
2,105.419,2.25022,3.49597,3.23804,1.47574,0.73014,0.13209,0.10789,0.05096,0.73109,0.10942,0.09537,0.03409,2.08027,4.40339,2.64435,1.47644,0.0341259,0.000657078,0.000657078
3,157.751,2.21518,3.3564,2.97539,1.46358,0.66052,0.05102,0.1066,0.04646,0.64447,0.04592,0.08381,0.03468,2.10749,3.31205,3.27391,1.55552,0.00110943,0.000973929,0.000973929
4,210.116,2.36483,3.2708,3.10206,1.56465,0.58356,0.2672,0.19489,0.09412,0.5081,0.12372,0.12704,0.06835,1.96924,3.11709,2.31356,1.43336,0.000962875,0.000962875,0.000962875
5,262.72,2.26111,3.33182,2.81702,1.49066,0.47866,0.21139,0.13663,0.0535,0.75125,0.09573,0.11068,0.04862,2.23319,3.26872,2.83565,1.46888,0.0009505,0.0009505,0.0009505
6,315.264,2.27264,3.23646,2.74629,1.4167,0.65218,0.32271,0.31825,0.09943,0.55076,0.19539,0.13319,0.06331,2.01204,3.10462,2.68393,1.38039,0.000938125,0.000938125,0.000938125
7,367.676,2.20488,3.08892,2.8198,1.49881,0.51339,0.13245,0.141,0.08009,0.48714,0.13593,0.13399,0.0767,2.00287,2.92442,2.18723,1.32043,0.00092575,0.00092575,0.00092575
8,420.237,2.15073,3.07697,2.60965,1.4743,0.26633,0.13379,0.15106,0.07566,0.26872,0.13042,0.1518,0.07491,1.97635,2.95229,2.41896,1.33179,0.000913375,0.000913375,0.000913375
9,472.657,2.09848,3.00054,2.55637,1.39478,0.73758,0.15783,0.26711,0.11729,0.74376,0.15391,0.21425,0.09418,1.97929,2.96736,2.06307,1.31159,0.000901,0.000901,0.000901
10,525.48,2.0723,2.93243,2.39151,1.39788,0.48394,0.16554,0.19958,0.10112,0.78146,0.14709,0.17664,0.09146,1.88106,2.8455,1.98484,1.29526,0.000888625,0.000888625,0.000888625
11,577.975,2.0614,2.98654,2.40009,1.36413,0.81502,0.14961,0.20019,0.10998,0.79236,0.1481,0.17126,0.09322,1.88112,2.85353,2.00701,1.2902,0.00087625,0.00087625,0.00087625
