epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.838,2.35513,4.21762,7.73105,1.46967,0.39668,0.06224,0.09481,0.04917,0.38499,0.06235,0.09893,0.05016,2.08842,3.542,3.04952,1.31718,0.0669682,0.000165989,0.000165989
2,54.7632,2.2663,3.70216,3.8965,1.39251,0.52951,0.12433,0.1287,0.06257,0.48809,0.11217,0.12136,0.06107,2.0774,3.37093,2.53802,1.29498,0.0337974,0.000328539,0.000328539
3,81.4655,2.15343,3.346,3.26638,1.34977,0.56548,0.12956,0.1482,0.07179,0.5296,0.12556,0.13004,0.06471,2.0115,3.05265,2.33593,1.25562,0.000622466,0.000486964,0.000486964
4,108.423,2.16427,3.2283,3.15708,1.30834,0.51567,0.11489,0.14945,0.06668,0.50176,0.11026,0.11427,0.05809,1.95533,3.01724,2.24096,1.2288,0.000481438,0.000481438,0.000481438
5,135.311,2.13025,3.13206,2.83349,1.32103,0.31644,0.25339,0.17068,0.08444,0.27906,0.25317,0.15889,0.07095,1.94986,2.85554,2.11801,1.18361,0.00047525,0.00047525,0.00047525
6,162.26,2.0893,3.10838,2.85606,1.22963,0.3534,0.26811,0.237,0.11219,0.32331,0.26169,0.22565,0.08852,1.82961,2.86249,2.09457,1.18074,0.000469063,0.000469063,0.000469063
7,189.117,2.05425,3.16137,2.63871,1.27362,0.5595,0.1438,0.1743,0.09134,0.56691,0.11709,0.15033,0.07648,1.87721,3.02274,2.41485,1.18644,0.000462875,0.000462875,0.000462875
8,216.01,2.02384,3.12542,2.62463,1.26009,0.56095,0.13757,0.15699,0.08131,0.48126,0.15538,0.15333,0.07693,1.8342,2.92738,1.94442,1.14843,0.000456687,0.000456687,0.000456687
9,243.047,1.98923,2.92226,2.54282,1.22245,0.24114,0.17286,0.20755,0.10552,0.22739,0.16378,0.17277,0.09158,1.88936,2.82155,1.88992,1.14723,0.0004505,0.0004505,0.0004505
10,270.149,1.89398,2.79525,2.32909,1.18726,0.32424,0.29984,0.25372,0.12678,0.25771,0.14895,0.16244,0.09223,1.78928,2.67355,1.99446,1.18463,0.000444312,0.000444312,0.000444312
11,297.014,1.94056,2.91731,2.22734,1.22849,0.42965,0.2551,0.29838,0.16744,0.40849,0.2508,0.28641,0.11244,1.70562,2.62303,1.83756,1.12782,0.000438125,0.000438125,0.000438125
12,323.906,1.89668,2.8952,2.36293,1.1862,0.53849,0.27098,0.33348,0.15783,0.51331,0.26597,0.29511,0.11858,1.73729,2.6367,1.87246,1.11295,0.000431938,0.000431938,0.000431938
