epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7451,2.22186,4.16087,6.0083,1.47465,0.49806,0.11653,0.15025,0.06132,0.46923,0.11078,0.12874,0.06368,1.92395,3.43359,2.23079,1.27721,0.0669682,0.000165989,0.000165989
2,105.165,2.12624,3.37639,2.99033,1.36997,0.54692,0.1168,0.14183,0.06711,0.45855,0.1031,0.11106,0.05744,1.90269,3.62662,2.3196,1.28398,0.0337974,0.000328539,0.000328539
3,157.575,2.10035,3.16563,2.8631,1.34876,0.53174,0.12377,0.15248,0.06036,0.53951,0.12601,0.12139,0.05669,1.9874,3.13987,2.55157,1.35261,0.000622466,0.000486964,0.000486964
4,210.035,2.2226,3.15326,2.86278,1.42499,0.50826,0.13005,0.14848,0.07584,0.50596,0.13204,0.14186,0.07242,1.96929,2.88118,2.2779,1.36436,0.000481438,0.000481438,0.000481438
5,262.654,2.06895,3.16939,2.48907,1.37313,0.21156,0.16539,0.17741,0.08595,0.26862,0.14895,0.15501,0.07296,1.95214,2.97299,2.30329,1.26881,0.00047525,0.00047525,0.00047525
6,315.246,2.05751,3.00983,2.45834,1.30512,0.34507,0.30343,0.24262,0.12808,0.30934,0.28283,0.20975,0.08944,1.83122,2.90812,1.91734,1.25351,0.000469063,0.000469063,0.000469063
7,367.785,2.02036,3.03038,2.46543,1.35124,0.5468,0.14196,0.19947,0.10842,0.54767,0.14763,0.19616,0.08976,1.82752,2.76444,2.24949,1.27226,0.000462875,0.000462875,0.000462875
8,420.411,1.94311,2.99456,2.38651,1.31384,0.53968,0.16657,0.19041,0.10587,0.57285,0.14545,0.18712,0.09892,1.78726,2.81368,1.91858,1.21208,0.000456687,0.000456687,0.000456687
9,472.925,1.93228,2.79216,2.32827,1.24972,0.51107,0.25052,0.21044,0.11041,0.83819,0.13307,0.16495,0.09088,1.74809,2.68682,2.07409,1.18572,0.0004505,0.0004505,0.0004505
10,525.515,1.91787,2.72806,2.19763,1.23858,0.5992,0.17286,0.2008,0.10833,0.5697,0.17002,0.18917,0.09652,1.79013,2.82731,1.98376,1.28763,0.000444312,0.000444312,0.000444312
11,578.027,1.92668,2.86879,2.085,1.26862,0.55349,0.24986,0.21366,0.12555,0.53356,0.24324,0.19482,0.10621,1.77264,2.6976,1.76114,1.22551,0.000438125,0.000438125,0.000438125
12,630.862,1.88281,2.77002,2.12457,1.23551,0.60888,0.25664,0.19221,0.11183,0.58376,0.253,0.18972,0.08494,1.7188,2.61388,1.85509,1.17248,0.000431938,0.000431938,0.000431938
13,683.73,1.91846,2.84972,2.15057,1.21036,0.36603,0.15808,0.1991,0.11584,0.34118,0.15379,0.1881,0.10653,1.76682,2.72399,1.97592,1.21713,0.00042575,0.00042575,0.00042575
14,736.437,1.77137,2.82661,2.09609,1.23213,0.74064,0.34108,0.3284,0.14472,0.53789,0.16657,0.18219,0.10013,1.78768,2.65995,1.93739,1.20084,0.000419563,0.000419563,0.000419563
15,789.405,1.92367,2.92055,2.15465,1.23373,0.53818,0.34297,0.34715,0.19527,0.59773,0.14838,0.28236,0.13925,1.69148,2.50597,1.72493,1.18724,0.000413375,0.000413375,0.000413375
16,842.277,1.85615,2.72206,2.06203,1.21204,0.52816,0.2474,0.30248,0.16104,0.5044,0.23947,0.27592,0.12093,1.71034,2.54893,1.66973,1.17171,0.000407187,0.000407187,0.000407187
17,895.97,1.81094,2.70595,2.09059,1.22363,0.63726,0.35535,0.29671,0.16454,0.51489,0.24287,0.21783,0.11419,1.65187,2.57858,2.10547,1.18253,0.000401,0.000401,0.000401
18,948.755,1.76863,2.61807,1.97555,1.21644,0.54668,0.18831,0.22073,0.13536,0.49215,0.19015,0.21218,0.11596,1.62257,2.48547,1.71254,1.18001,0.000394813,0.000394813,0.000394813
19,1001.62,1.7287,2.56635,1.98045,1.19714,0.54186,0.22107,0.23488,0.14222,0.53653,0.22827,0.23067,0.10693,1.64988,2.53259,1.68661,1.16936,0.000388625,0.000388625,0.000388625
20,1054.83,1.81137,2.70088,1.95156,1.20515,0.55506,0.49649,0.42898,0.24714,0.54842,0.48695,0.40002,0.19041,1.6347,2.51324,1.68641,1.15341,0.000382438,0.000382438,0.000382438
21,1107.67,1.73182,2.50445,1.84868,1.13318,0.77014,0.2381,0.36252,0.19024,0.7263,0.22737,0.32862,0.13919,1.65622,2.67233,1.83723,1.16028,0.00037625,0.00037625,0.00037625
22,1160.44,1.76155,2.63017,1.90649,1.17298,0.83891,0.4122,0.47806,0.24254,0.75178,0.35746,0.37279,0.16518,1.60204,2.37512,1.67265,1.13865,0.000370063,0.000370063,0.000370063
23,1213.41,1.70435,2.54141,1.84371,1.19052,0.77672,0.36046,0.57165,0.28377,0.69053,0.29252,0.51254,0.24118,1.55609,2.42551,1.54616,1.12713,0.000363875,0.000363875,0.000363875
24,1266.66,1.71828,2.6243,1.81749,1.14869,0.61451,0.20466,0.26519,0.15662,0.56365,0.18234,0.23876,0.12745,1.55018,2.44118,1.47941,1.14588,0.000357687,0.000357687,0.000357687
25,1319.5,1.67145,2.51823,1.79371,1.18503,0.71169,0.32556,0.37849,0.21804,0.64278,0.313,0.34674,0.16,1.54911,2.4339,1.67392,1.12067,0.0003515,0.0003515,0.0003515
26,1372.96,1.64552,2.58621,1.78551,1.12763,0.82125,0.20632,0.49989,0.24749,0.78907,0.19326,0.41631,0.20422,1.55868,2.36792,1.45319,1.12299,0.000345313,0.000345313,0.000345313
27,1426.46,1.60361,2.43894,1.69992,1.14169,0.59087,0.35359,0.34104,0.19431,0.58739,0.3636,0.33556,0.1552,1.56558,2.3576,1.48254,1.11682,0.000339125,0.000339125,0.000339125
28,1479.53,1.74266,2.5955,1.69908,1.10429,0.4696,0.38974,0.40964,0.23716,0.45304,0.3879,0.4004,0.18548,1.53713,2.39034,1.54673,1.10566,0.000332938,0.000332938,0.000332938
29,1532.38,1.62216,2.38741,1.62986,1.13874,0.85265,0.27077,0.42692,0.25347,0.56138,0.45677,0.42134,0.19585,1.55866,2.28201,1.31521,1.10267,0.00032675,0.00032675,0.00032675
30,1585.28,1.63995,2.47098,1.6205,1.11323,0.79605,0.38199,0.4195,0.23758,0.65413,0.39995,0.35419,0.1773,1.53637,2.22551,1.35667,1.09068,0.000320562,0.000320562,0.000320562
31,1638.12,1.62684,2.34372,1.62195,1.12548,0.3523,0.4148,0.38826,0.22202,0.32649,0.41473,0.36667,0.16943,1.51738,2.21799,1.50504,1.08613,0.000314375,0.000314375,0.000314375
32,1691.02,1.61007,2.43235,1.64063,1.10145,0.82836,0.2437,0.44396,0.26327,0.80001,0.23808,0.43224,0.1828,1.50759,2.36202,1.35967,1.09086,0.000308188,0.000308188,0.000308188
33,1743.97,1.52178,2.27939,1.59883,1.10889,0.71566,0.34378,0.43636,0.25169,0.6711,0.3332,0.42379,0.18654,1.44983,2.25405,1.31042,1.07699,0.000302,0.000302,0.000302
34,1797.23,1.53407,2.31296,1.38328,1.11362,0.60742,0.45994,0.52835,0.27745,0.51309,0.39215,0.41373,0.20734,1.43213,2.16272,1.43883,1.06202,0.000295813,0.000295813,0.000295813
35,1850.17,1.5912,2.34801,1.58541,1.11115,0.66423,0.36955,0.43675,0.27258,0.61909,0.35731,0.40962,0.20682,1.46078,2.22551,1.32757,1.0896,0.000289625,0.000289625,0.000289625
36,1903.22,1.53339,2.45621,1.47554,1.0843,0.39756,0.41581,0.33407,0.1972,0.33485,0.45148,0.28689,0.14883,1.41318,2.26843,1.27109,1.08435,0.000283437,0.000283437,0.000283437
37,1956.44,1.60999,2.44272,1.50972,1.09642,0.75345,0.43588,0.48285,0.30552,0.71301,0.42629,0.45569,0.22442,1.46511,2.17857,1.34662,1.09108,0.00027725,0.00027725,0.00027725
38,2009.34,1.51419,2.19843,1.46559,1.05178,0.58768,0.39149,0.47679,0.26686,0.49624,0.4834,0.41105,0.2012,1.44147,2.11798,1.28065,1.06203,0.000271062,0.000271062,0.000271062
39,2062.45,1.54968,2.21839,1.51398,1.07932,0.48215,0.3999,0.50735,0.29818,0.47891,0.3852,0.43944,0.22755,1.42604,2.06688,1.26091,1.08046,0.000264875,0.000264875,0.000264875
