epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9609,2.18148,6.54551,1.52924,0.47429,0.11187,0.15049,0.0711,1.78372,2.77103,1.42067,0.0669682,0.000165989,0.000165989
2,176.026,2.05758,3.01814,1.48654,0.51044,0.1292,0.13065,0.07002,1.84885,2.79983,1.40022,0.0337968,0.000327951,0.000327951
3,262.563,1.98257,2.92894,1.47339,0.26638,0.09395,0.11037,0.0622,1.8136,2.63955,1.43431,0.0006207,0.000485199,0.000485199
4,349.055,2.13628,2.83893,1.51223,0.79007,0.13108,0.16611,0.08264,1.88424,2.35552,1.40013,0.000478786,0.000478786,0.000478786
5,435.78,2.07531,2.72592,1.513,0.35821,0.19024,0.17955,0.08161,2.01798,2.69651,1.49261,0.000471714,0.000471714,0.000471714
6,522.448,2.07352,2.60598,1.44625,0.31514,0.21887,0.19214,0.1087,1.85897,2.04713,1.38199,0.000464643,0.000464643,0.000464643
7,608.996,1.96114,2.53776,1.474,0.79343,0.14267,0.30806,0.14093,1.82294,2.47441,1.3895,0.000457571,0.000457571,0.000457571
8,695.623,1.97224,2.54815,1.49761,0.57276,0.16048,0.18319,0.09231,1.8966,2.02505,1.41342,0.0004505,0.0004505,0.0004505
9,782.052,1.94947,2.41494,1.43154,0.82405,0.15131,0.16819,0.09801,1.7878,1.88319,1.38552,0.000443429,0.000443429,0.000443429
10,868.651,1.79347,2.22346,1.37832,0.74347,0.30716,0.3187,0.16708,1.72573,2.13133,1.39158,0.000436357,0.000436357,0.000436357
11,955.268,1.81123,2.14788,1.39404,0.50845,0.30773,0.20578,0.11663,1.71297,2.06358,1.34788,0.000429286,0.000429286,0.000429286
12,1041.79,1.83463,2.2902,1.38891,0.47634,0.20904,0.25506,0.13652,1.67109,1.89341,1.32221,0.000422214,0.000422214,0.000422214
13,1128.28,1.8493,2.23884,1.34102,0.56744,0.1567,0.18147,0.10791,1.66374,1.97916,1.30143,0.000415143,0.000415143,0.000415143
14,1214.72,1.7414,2.18555,1.3562,0.78183,0.24169,0.29915,0.13435,1.69946,1.9289,1.32284,0.000408071,0.000408071,0.000408071
15,1301.23,1.89618,2.13859,1.35421,0.85801,0.16514,0.27053,0.15572,1.54294,1.63777,1.27004,0.000401,0.000401,0.000401
16,1387.73,1.75933,2.02652,1.34407,0.37085,0.26715,0.29629,0.1415,1.70666,1.7094,1.3752,0.000393929,0.000393929,0.000393929
17,1474.33,1.78429,2.07451,1.35674,0.57509,0.33737,0.26035,0.14068,1.62173,2.13941,1.28485,0.000386857,0.000386857,0.000386857
18,1560.88,1.75679,1.97059,1.35452,0.56433,0.36465,0.23034,0.12703,1.65618,1.67281,1.29413,0.000379786,0.000379786,0.000379786
19,1647.49,1.71315,2.01779,1.31655,0.57709,0.15297,0.20452,0.11384,1.61282,1.65592,1.27983,0.000372714,0.000372714,0.000372714
20,1734.08,1.745,2.03297,1.3292,0.59264,0.25026,0.27635,0.15422,1.54966,1.61026,1.2189,0.000365643,0.000365643,0.000365643
21,1820.66,1.60164,1.84391,1.25259,0.81218,0.34469,0.40578,0.21253,1.60715,1.49289,1.25227,0.000358571,0.000358571,0.000358571
22,1907.22,1.63738,1.95863,1.24948,0.8764,0.19657,0.30806,0.18811,1.59552,1.56679,1.2504,0.0003515,0.0003515,0.0003515
23,1993.88,1.63741,1.82531,1.32748,0.68759,0.25874,0.2852,0.15266,1.59801,1.55708,1.27143,0.000344429,0.000344429,0.000344429
24,2080.51,1.63681,1.83394,1.30773,0.72511,0.29026,0.31037,0.16763,1.46376,1.53086,1.21191,0.000337357,0.000337357,0.000337357
25,2167.14,1.66027,1.91344,1.35029,0.35878,0.37254,0.25993,0.14844,1.56283,1.98452,1.26556,0.000330286,0.000330286,0.000330286
26,2253.73,1.57686,1.79075,1.21656,0.85079,0.2181,0.36293,0.19441,1.53898,1.44377,1.21823,0.000323214,0.000323214,0.000323214
27,2340.47,1.55589,1.73184,1.26865,0.66785,0.32157,0.35541,0.19674,1.57658,1.51052,1.24353,0.000316143,0.000316143,0.000316143
28,2427.06,1.6584,1.69031,1.23112,0.68287,0.34018,0.36299,0.21534,1.48382,1.47112,1.23267,0.000309071,0.000309071,0.000309071
29,2513.59,1.57078,1.62416,1.26431,0.774,0.28177,0.33515,0.1784,1.53698,1.38184,1.24526,0.000302,0.000302,0.000302
30,2600.21,1.60991,1.6936,1.26402,0.7653,0.23742,0.30384,0.16876,1.46547,1.56413,1.20187,0.000294929,0.000294929,0.000294929
31,2686.76,1.61629,1.68937,1.25596,0.48265,0.37434,0.40035,0.21176,1.50602,1.63704,1.2175,0.000287857,0.000287857,0.000287857
32,2773.36,1.56515,1.63802,1.22922,0.78708,0.26304,0.46139,0.25906,1.4899,1.34375,1.18862,0.000280786,0.000280786,0.000280786
33,2860.01,1.47786,1.62374,1.19984,0.60761,0.43547,0.4549,0.2682,1.40665,1.45617,1.15353,0.000273714,0.000273714,0.000273714
34,2946.78,1.49742,1.45448,1.24074,0.49212,0.3887,0.44879,0.23179,1.44542,1.4495,1.18583,0.000266643,0.000266643,0.000266643
35,3033.29,1.51228,1.55481,1.20156,0.80131,0.32471,0.45293,0.27832,1.38705,1.28479,1.15909,0.000259571,0.000259571,0.000259571
36,3119.97,1.49612,1.50172,1.19565,0.7263,0.29875,0.41357,0.23767,1.43413,1.18992,1.19453,0.0002525,0.0002525,0.0002525
37,3206.6,1.5168,1.52164,1.19384,0.69238,0.35416,0.41139,0.22637,1.41761,1.14924,1.18211,0.000245429,0.000245429,0.000245429
38,3293.07,1.4655,1.41848,1.16752,0.49682,0.4667,0.47184,0.26012,1.37278,1.24536,1.13157,0.000238357,0.000238357,0.000238357
39,3379.64,1.44776,1.48607,1.15015,0.90004,0.40433,0.49263,0.30132,1.38433,1.17094,1.13814,0.000231286,0.000231286,0.000231286
40,3466.41,1.45712,1.42322,1.18244,0.52402,0.45564,0.45853,0.28429,1.37796,1.21097,1.12843,0.000224214,0.000224214,0.000224214
41,3553.03,1.4587,1.39042,1.13485,0.65974,0.35456,0.45263,0.28595,1.4071,1.21483,1.15631,0.000217143,0.000217143,0.000217143
42,3639.58,1.3802,1.41329,1.17024,0.54409,0.5307,0.48715,0.29667,1.33147,1.23469,1.1369,0.000210071,0.000210071,0.000210071
43,3726.15,1.38776,1.40097,1.1755,0.85043,0.39171,0.53169,0.3065,1.35545,1.19687,1.12314,0.000203,0.000203,0.000203
44,3812.82,1.39908,1.39815,1.13381,0.60931,0.3896,0.493,0.31314,1.32775,1.13456,1.10098,0.000195929,0.000195929,0.000195929
45,3899.48,1.38422,1.27782,1.13299,0.6098,0.57752,0.53248,0.35371,1.31488,1.15587,1.10041,0.000188857,0.000188857,0.000188857
46,3986.08,1.35628,1.36415,1.12075,0.44655,0.49463,0.49285,0.30098,1.32917,1.11886,1.08863,0.000181786,0.000181786,0.000181786
47,4072.57,1.37581,1.3453,1.13442,0.77635,0.42809,0.53403,0.31252,1.32337,1.09808,1.09775,0.000174714,0.000174714,0.000174714
