epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5713,2.30449,7.59598,1.54928,0.52643,0.03345,0.05235,0.02276,2.09663,3.12609,1.41371,0.0669682,0.000165989,0.000165989
2,43.8584,2.14527,3.73702,1.44025,0.51422,0.09166,0.10315,0.05112,1.96044,2.51473,1.34704,0.0337974,0.000328539,0.000328539
3,64.8691,2.16282,3.19861,1.39008,0.78901,0.10412,0.14273,0.07266,2.04918,2.53042,1.29454,0.000622466,0.000486964,0.000486964
4,86.026,2.24723,3.17842,1.40742,0.51675,0.11848,0.14501,0.07227,1.94912,2.36233,1.28381,0.000481438,0.000481438,0.000481438
5,107.01,2.1627,2.8478,1.35127,0.58145,0.23575,0.16698,0.07086,2.05671,2.34744,1.26262,0.00047525,0.00047525,0.00047525
6,128.198,2.11697,2.80676,1.29019,0.28016,0.14135,0.16151,0.0869,1.90629,2.19107,1.23696,0.000469063,0.000469063,0.000469063
7,149.381,2.0256,2.60946,1.34262,0.88117,0.12353,0.22065,0.11722,1.80985,2.25006,1.26331,0.000462875,0.000462875,0.000462875
8,170.64,2.00615,2.63698,1.35254,0.58427,0.14479,0.16306,0.08941,1.77726,2.02074,1.20726,0.000456687,0.000456687,0.000456687
9,191.659,1.93865,2.42031,1.283,0.54927,0.15672,0.17972,0.08998,1.77654,2.1409,1.1948,0.0004505,0.0004505,0.0004505
10,212.764,1.90249,2.33302,1.29197,0.29539,0.28212,0.23384,0.12114,1.7302,1.81353,1.19876,0.000444312,0.000444312,0.000444312
11,233.797,1.95145,2.26491,1.30076,0.55604,0.17124,0.20326,0.1183,1.7494,1.89737,1.21836,0.000438125,0.000438125,0.000438125
12,255.428,1.9305,2.3587,1.2719,0.47803,0.17087,0.16339,0.08765,1.82289,2.38105,1.22147,0.000431938,0.000431938,0.000431938
13,276.945,1.9337,2.35435,1.23742,0.8564,0.15897,0.19695,0.10973,1.70065,1.89438,1.18739,0.00042575,0.00042575,0.00042575
14,298.191,1.81939,2.21552,1.26232,0.51534,0.19407,0.23624,0.11819,1.73761,1.91987,1.19245,0.000419563,0.000419563,0.000419563
15,319.32,1.93344,2.28695,1.27418,0.64849,0.33772,0.3782,0.18694,1.69903,1.76551,1.17786,0.000413375,0.000413375,0.000413375
16,340.323,1.88849,2.19861,1.23398,0.8658,0.17252,0.25904,0.13286,1.75829,1.71889,1.1917,0.000407187,0.000407187,0.000407187
