epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8027,2.30759,7.06657,1.51848,0.7431,0.07601,0.08897,0.04487,1.95698,3.03851,1.40491,0.0669682,0.000165989,0.000165989
2,81.1666,2.12216,2.95755,1.41416,0.30994,0.20933,0.18968,0.07742,1.84466,2.30588,1.29335,0.0337974,0.000328539,0.000328539
3,121.444,2.05626,2.71535,1.3865,0.60078,0.12309,0.16598,0.0831,1.95471,2.13383,1.33976,0.000622466,0.000486964,0.000486964
4,161.779,2.17776,2.67774,1.43379,0.42979,0.16983,0.2645,0.12395,1.8959,2.05797,1.38223,0.000481438,0.000481438,0.000481438
5,202.133,2.08091,2.60937,1.40043,0.49152,0.2607,0.25889,0.1233,1.92103,2.13214,1.31895,0.00047525,0.00047525,0.00047525
6,242.458,2.05381,2.56444,1.31104,0.41495,0.32413,0.22891,0.10796,1.77749,2.38063,1.23138,0.000469063,0.000469063,0.000469063
7,282.76,2.03174,2.41916,1.40064,0.56064,0.15963,0.17305,0.09447,1.90588,2.14269,1.33488,0.000462875,0.000462875,0.000462875
8,323.104,1.96028,2.43154,1.38202,0.62108,0.13755,0.19832,0.09952,1.88568,1.92622,1.32725,0.000456687,0.000456687,0.000456687
9,363.403,1.91455,2.20017,1.29126,0.37546,0.25766,0.25884,0.13751,1.70901,1.73214,1.18391,0.0004505,0.0004505,0.0004505
10,403.781,1.79997,2.09925,1.27986,0.54935,0.40316,0.43536,0.23682,1.70747,1.9678,1.27097,0.000444312,0.000444312,0.000444312
11,444.176,1.83249,2.06896,1.28535,0.80149,0.17089,0.25581,0.14575,1.69814,1.82809,1.26462,0.000438125,0.000438125,0.000438125
12,484.541,1.82795,2.0795,1.2632,0.63655,0.29375,0.33895,0.16182,1.71498,1.79894,1.24523,0.000431938,0.000431938,0.000431938
13,525.025,1.84675,2.11485,1.2615,0.33946,0.31434,0.24962,0.13221,1.6795,1.73858,1.22889,0.00042575,0.00042575,0.00042575
14,565.271,1.72555,2.13634,1.28516,0.55858,0.31255,0.35271,0.18356,1.68173,1.77299,1.23492,0.000419563,0.000419563,0.000419563
15,605.699,1.81724,2.11391,1.26835,0.5014,0.19817,0.3726,0.18846,1.58512,1.63101,1.20302,0.000413375,0.000413375,0.000413375
16,646.107,1.73995,2.05803,1.2423,0.85858,0.14345,0.2837,0.14858,1.62463,1.66319,1.16233,0.000407187,0.000407187,0.000407187
17,686.626,1.76262,1.97451,1.25555,0.60222,0.46731,0.44613,0.20526,1.643,1.89614,1.21592,0.000401,0.000401,0.000401
18,727.173,1.75431,1.86804,1.23792,0.34896,0.2535,0.31615,0.16686,1.62229,1.55131,1.17018,0.000394813,0.000394813,0.000394813
19,767.658,1.68202,1.90433,1.22575,0.5858,0.27171,0.36196,0.1844,1.66856,1.53682,1.23017,0.000388625,0.000388625,0.000388625
20,808.143,1.7295,1.86602,1.24534,0.50023,0.46986,0.39838,0.21976,1.55775,1.63819,1.16024,0.000382438,0.000382438,0.000382438
21,848.495,1.63164,1.73805,1.15417,0.49407,0.27575,0.37179,0.177,1.5938,1.56805,1.2025,0.00037625,0.00037625,0.00037625
22,888.899,1.64931,1.84043,1.16919,0.4726,0.43292,0.40427,0.23825,1.57574,1.72818,1.19604,0.000370063,0.000370063,0.000370063
23,929.329,1.62667,1.71821,1.22656,0.61898,0.27711,0.36423,0.21687,1.53322,1.46642,1.12949,0.000363875,0.000363875,0.000363875
24,969.778,1.63694,1.72496,1.18657,0.45846,0.30853,0.34414,0.20035,1.46032,1.54131,1.10116,0.000357687,0.000357687,0.000357687
25,1010.25,1.58873,1.74979,1.20888,0.46608,0.35705,0.35443,0.18208,1.54683,1.45235,1.14436,0.0003515,0.0003515,0.0003515
26,1050.68,1.58857,1.68123,1.13831,0.5073,0.24235,0.37839,0.22506,1.46098,1.41983,1.10429,0.000345313,0.000345313,0.000345313
27,1091.16,1.54385,1.67759,1.17172,0.59071,0.33409,0.41627,0.23113,1.51034,1.34481,1.14774,0.000339125,0.000339125,0.000339125
28,1131.55,1.64395,1.65877,1.14391,0.57951,0.36125,0.43039,0.22612,1.52047,1.57978,1.15162,0.000332938,0.000332938,0.000332938
29,1171.93,1.58535,1.63954,1.18449,0.59771,0.46365,0.45665,0.257,1.50204,1.32022,1.12744,0.00032675,0.00032675,0.00032675
30,1212.42,1.56336,1.61851,1.15094,0.64745,0.44976,0.49802,0.2958,1.40742,1.33642,1.09611,0.000320562,0.000320562,0.000320562
31,1252.92,1.59927,1.57124,1.18591,0.59885,0.56884,0.52524,0.29353,1.4109,1.31575,1.09555,0.000314375,0.000314375,0.000314375
32,1293.38,1.54319,1.56565,1.13121,0.64295,0.44146,0.55143,0.29225,1.44687,1.25246,1.10429,0.000308188,0.000308188,0.000308188
33,1334.01,1.48609,1.55059,1.14765,0.80753,0.34208,0.49686,0.29353,1.41693,1.3776,1.09308,0.000302,0.000302,0.000302
34,1374.58,1.50941,1.40905,1.14467,0.75937,0.43426,0.50395,0.30893,1.41449,1.27518,1.07768,0.000295813,0.000295813,0.000295813
35,1414.96,1.51802,1.56849,1.12236,0.4756,0.4512,0.42457,0.27432,1.39826,1.20092,1.10036,0.000289625,0.000289625,0.000289625
36,1455.34,1.47835,1.39664,1.11729,0.806,0.43258,0.53644,0.28402,1.40104,1.19609,1.0949,0.000283437,0.000283437,0.000283437
37,1495.72,1.52723,1.39195,1.11732,0.76578,0.43285,0.55667,0.33771,1.38643,1.09271,1.10439,0.00027725,0.00027725,0.00027725
38,1536.17,1.43922,1.37577,1.0802,0.6418,0.3947,0.49863,0.32097,1.40508,1.28153,1.09154,0.000271062,0.000271062,0.000271062
39,1576.6,1.4838,1.42772,1.09199,0.83709,0.43406,0.51816,0.31396,1.36484,1.18138,1.07612,0.000264875,0.000264875,0.000264875
40,1617.07,1.48654,1.39375,1.10788,0.71711,0.43734,0.5375,0.33172,1.37597,1.11659,1.06451,0.000258687,0.000258687,0.000258687
41,1657.52,1.47086,1.36496,1.07092,0.8674,0.42991,0.56963,0.3162,1.35666,1.09637,1.07409,0.0002525,0.0002525,0.0002525
42,1698,1.39988,1.33299,1.10241,0.71506,0.46759,0.52786,0.32875,1.35492,1.09751,1.08373,0.000246313,0.000246313,0.000246313
43,1738.38,1.39317,1.3736,1.11242,0.76774,0.40962,0.54001,0.33521,1.38204,1.17625,1.09086,0.000240125,0.000240125,0.000240125
44,1778.76,1.40436,1.43079,1.08003,0.68014,0.46315,0.53568,0.31363,1.3344,1.16369,1.06142,0.000233938,0.000233938,0.000233938
45,1819.22,1.42047,1.2633,1.07318,0.79663,0.48252,0.55195,0.33133,1.31239,1.12159,1.04344,0.00022775,0.00022775,0.00022775
46,1859.58,1.39318,1.33513,1.06069,0.88375,0.43404,0.54688,0.33729,1.23885,1.13144,1.01182,0.000221562,0.000221562,0.000221562
47,1899.96,1.3832,1.34497,1.06211,0.63271,0.60424,0.57094,0.32769,1.28372,1.07482,1.03013,0.000215375,0.000215375,0.000215375
48,1940.39,1.37662,1.26278,1.0574,0.84512,0.40981,0.53675,0.33392,1.3002,1.09668,1.05065,0.000209188,0.000209188,0.000209188
49,1980.84,1.43407,1.37502,1.07557,0.73432,0.50497,0.55077,0.3339,1.28119,1.10615,1.02873,0.000203,0.000203,0.000203
50,2021.37,1.42943,1.29016,1.05871,0.83784,0.43381,0.53367,0.34119,1.27424,1.07142,1.02394,0.000196812,0.000196812,0.000196812
51,2061.81,1.34508,1.21799,1.05569,0.73546,0.49155,0.54718,0.36307,1.29645,0.97502,1.02127,0.000190625,0.000190625,0.000190625
52,2102.31,1.32898,1.19447,1.07288,0.80488,0.45621,0.48255,0.3137,1.24565,1.02779,1.00259,0.000184438,0.000184438,0.000184438
53,2142.84,1.34541,1.24645,1.05992,0.82278,0.49754,0.55116,0.37155,1.19632,0.99357,0.97999,0.00017825,0.00017825,0.00017825
54,2183.29,1.23031,1.08547,1.0321,0.80536,0.43802,0.56449,0.37062,1.25191,0.99649,1.01816,0.000172063,0.000172063,0.000172063
