epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1988,2.30449,7.59598,1.54928,0.52643,0.03345,0.05235,0.02276,2.09663,3.12609,1.41371,0.0669682,0.000165989,0.000165989
2,45.147,2.14276,3.77111,1.4281,0.52614,0.11689,0.11229,0.05477,1.94601,2.45856,1.31326,0.0337968,0.000327951,0.000327951
3,65.6012,2.19341,3.16922,1.39899,0.74673,0.12155,0.24907,0.12692,1.95492,2.51165,1.24854,0.0006207,0.000485199,0.000485199
4,86.2641,2.25978,3.07967,1.39919,0.56,0.09571,0.12173,0.06186,2.07653,2.38226,1.35504,0.000478786,0.000478786,0.000478786
5,107.046,2.1427,2.7974,1.36837,0.57298,0.13129,0.14669,0.07051,1.984,2.69342,1.28676,0.000471714,0.000471714,0.000471714
6,127.342,2.11418,2.73343,1.33476,0.25456,0.21079,0.16591,0.08447,1.83995,2.06589,1.3027,0.000464643,0.000464643,0.000464643
7,148.119,2.01196,2.59374,1.37055,0.56999,0.22939,0.20285,0.09702,1.86409,2.16865,1.29926,0.000457571,0.000457571,0.000457571
8,169.003,1.99372,2.57082,1.33412,0.85767,0.15693,0.18608,0.10102,1.76813,2.07269,1.18158,0.0004505,0.0004505,0.0004505
9,189.632,1.94667,2.49895,1.28008,0.83534,0.14889,0.18286,0.09579,1.78368,2.04311,1.22588,0.000443429,0.000443429,0.000443429
10,210.195,1.89649,2.32554,1.2609,0.7929,0.16266,0.19887,0.1094,1.78852,1.93612,1.1765,0.000436357,0.000436357,0.000436357
11,231.152,1.91841,2.28099,1.29844,0.59648,0.25032,0.24908,0.13188,1.75946,1.89871,1.25715,0.000429286,0.000429286,0.000429286
12,252.281,1.90344,2.47759,1.25437,0.6049,0.29488,0.2429,0.12141,1.71172,2.14604,1.21125,0.000422214,0.000422214,0.000422214
13,273.497,1.92942,2.39408,1.24725,0.84614,0.1776,0.2028,0.11472,1.71954,1.96426,1.19464,0.000415143,0.000415143,0.000415143
14,294.939,1.82732,2.22823,1.26326,0.67747,0.35475,0.31828,0.14894,1.80246,1.99366,1.19419,0.000408071,0.000408071,0.000408071
15,316.307,1.95273,2.33235,1.25712,0.53761,0.19903,0.2553,0.13472,1.63712,1.68796,1.14795,0.000401,0.000401,0.000401
16,337.222,1.83653,2.1532,1.22131,0.62802,0.23127,0.23847,0.11623,1.71389,1.95413,1.16396,0.000393929,0.000393929,0.000393929
17,358.806,1.84271,2.20025,1.25793,0.61837,0.30813,0.28747,0.16423,1.59293,1.70298,1.12585,0.000386857,0.000386857,0.000386857
18,379.938,1.82983,2.08839,1.23944,0.55397,0.18287,0.2009,0.11732,1.63712,1.93891,1.11976,0.000379786,0.000379786,0.000379786
19,401.152,1.74748,2.03324,1.18348,0.66102,0.25624,0.28607,0.14266,1.68043,1.78983,1.1642,0.000372714,0.000372714,0.000372714
20,423.108,1.82596,2.10002,1.23052,0.66959,0.31653,0.31049,0.16263,1.61851,1.54383,1.13895,0.000365643,0.000365643,0.000365643
21,444.698,1.70466,1.90955,1.17069,0.61214,0.26616,0.30386,0.16596,1.62377,1.5658,1.13893,0.000358571,0.000358571,0.000358571
22,466.674,1.71428,1.95102,1.15356,0.51569,0.33806,0.33347,0.17819,1.61671,1.47071,1.12455,0.0003515,0.0003515,0.0003515
23,488.148,1.72683,1.90149,1.21917,0.6682,0.23111,0.27742,0.1595,1.57656,1.68859,1.12567,0.000344429,0.000344429,0.000344429
24,509.696,1.72112,1.83881,1.17511,0.29323,0.28692,0.27249,0.14849,1.57379,1.69207,1.10857,0.000337357,0.000337357,0.000337357
25,531.665,1.71793,1.89538,1.21086,0.48717,0.39538,0.29115,0.16197,1.60105,2.00548,1.10772,0.000330286,0.000330286,0.000330286
26,553.034,1.65921,1.8787,1.14952,0.90721,0.17273,0.26617,0.1511,1.58712,1.92162,1.1325,0.000323214,0.000323214,0.000323214
27,574.585,1.63891,1.79283,1.17253,0.70227,0.29249,0.29226,0.17638,1.56896,1.5153,1.12665,0.000316143,0.000316143,0.000316143
28,596.701,1.76595,1.85435,1.14013,0.75437,0.33385,0.41082,0.19794,1.5672,1.80105,1.13393,0.000309071,0.000309071,0.000309071
29,618.44,1.67091,1.80089,1.17951,0.28565,0.33257,0.33806,0.19746,1.53207,1.61873,1.12104,0.000302,0.000302,0.000302
30,640.464,1.65384,1.71632,1.14344,0.68245,0.38587,0.40461,0.20622,1.50431,1.50133,1.07318,0.000294929,0.000294929,0.000294929
31,662.184,1.69953,1.81238,1.17663,0.54737,0.39969,0.41867,0.2553,1.50417,1.44103,1.10225,0.000287857,0.000287857,0.000287857
32,683.436,1.64086,1.74272,1.13905,0.46487,0.49575,0.37825,0.20406,1.55456,1.476,1.09825,0.000280786,0.000280786,0.000280786
33,704.439,1.57501,1.74324,1.14312,0.66957,0.48326,0.47427,0.22947,1.43737,1.46853,1.08862,0.000273714,0.000273714,0.000273714
34,725.397,1.63056,1.55345,1.17377,0.53492,0.38379,0.4333,0.21397,1.49936,1.415,1.10214,0.000266643,0.000266643,0.000266643
35,746.404,1.60012,1.76151,1.12206,0.45082,0.465,0.37922,0.19881,1.58263,1.4329,1.11337,0.000259571,0.000259571,0.000259571
36,767.406,1.57463,1.57808,1.1385,0.69078,0.40789,0.44879,0.22559,1.50932,1.48025,1.1081,0.0002525,0.0002525,0.0002525
37,788.348,1.637,1.60824,1.12246,0.64322,0.38802,0.41047,0.22052,1.46413,1.42206,1.07432,0.000245429,0.000245429,0.000245429
38,809.25,1.54608,1.54052,1.09107,0.74347,0.4021,0.42944,0.21506,1.52821,1.4142,1.07204,0.000238357,0.000238357,0.000238357
39,830.415,1.57855,1.6166,1.08289,0.54466,0.50841,0.41493,0.22733,1.45037,1.42868,1.07337,0.000231286,0.000231286,0.000231286
40,851.607,1.57995,1.59715,1.10457,0.6549,0.40226,0.40587,0.23432,1.46947,1.35803,1.08033,0.000224214,0.000224214,0.000224214
