epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7021,2.33255,4.16113,7.35284,1.50433,0.76488,0.07577,0.07662,0.03326,0.75566,0.07511,0.06903,0.02587,2.16965,4.98187,3.02063,1.52451,0.0671341,0.000331978,0.000331978
2,54.8051,2.32294,3.72962,3.76384,1.4541,0.50909,0.1253,0.10598,0.05118,0.48012,0.11645,0.10054,0.04494,2.0729,3.42008,2.61704,1.30703,0.0341259,0.000657078,0.000657078
3,81.9684,2.23093,3.41127,3.1489,1.40824,0.53453,0.11092,0.11257,0.053,0.4808,0.10469,0.09942,0.05537,2.14065,3.20033,2.58765,1.39124,0.00110943,0.000973929,0.000973929
4,109.137,2.3061,3.32795,3.06206,1.42002,0.48212,0.10397,0.08956,0.03904,0.46041,0.10299,0.09426,0.04216,2.1375,2.99503,2.57473,1.32525,0.000962875,0.000962875,0.000962875
5,136.372,2.20653,3.28078,2.86445,1.37124,0.51685,0.1369,0.13589,0.06372,0.4697,0.12306,0.11955,0.06041,2.18028,3.06752,2.18935,1.33007,0.0009505,0.0009505,0.0009505
6,163.661,2.21879,3.25087,2.86111,1.32318,0.30799,0.12524,0.1454,0.0823,0.29157,0.12434,0.13366,0.07021,1.96482,2.99542,2.42655,1.27608,0.000938125,0.000938125,0.000938125
7,191.135,2.18405,3.13997,2.69904,1.38411,0.53734,0.11876,0.16653,0.08735,0.26243,0.12698,0.14143,0.08277,1.96466,2.91338,2.55533,1.23431,0.00092575,0.00092575,0.00092575
8,218.443,2.08371,3.21901,2.73399,1.3553,0.29795,0.15632,0.18041,0.08882,0.25825,0.14971,0.14265,0.07382,1.9404,3.07757,2.09038,1.24106,0.000913375,0.000913375,0.000913375
9,245.86,2.05619,3.08096,2.54038,1.29142,0.5036,0.15717,0.17271,0.08983,0.46878,0.1489,0.15451,0.08032,1.92838,2.93573,2.09618,1.22851,0.000901,0.000901,0.000901
10,273.37,1.97271,2.87749,2.40109,1.27788,0.25628,0.25359,0.1784,0.09526,0.2235,0.24598,0.1654,0.07969,1.8464,2.75029,2.3805,1.21991,0.000888625,0.000888625,0.000888625
11,300.668,2.03128,3.0042,2.40231,1.30754,0.27616,0.23403,0.24323,0.10628,0.47235,0.15434,0.14508,0.08136,1.88965,2.70507,2.1391,1.21457,0.00087625,0.00087625,0.00087625
12,328.223,1.94115,3.06141,2.4493,1.23943,0.70549,0.18031,0.23373,0.10231,0.52366,0.22469,0.15667,0.07591,1.86784,2.68249,2.08104,1.18785,0.000863875,0.000863875,0.000863875
13,355.811,2.03893,3.0065,2.43044,1.25156,0.6884,0.32374,0.32315,0.14852,0.68227,0.30249,0.28654,0.10659,1.84395,2.86823,1.96836,1.25968,0.0008515,0.0008515,0.0008515
14,383.155,1.89219,3.02527,2.35616,1.25877,0.65761,0.25792,0.22673,0.10896,0.58176,0.19,0.16718,0.08861,1.82135,2.76557,2.01201,1.20008,0.000839125,0.000839125,0.000839125
15,410.777,2.01586,2.98246,2.41405,1.27821,0.58205,0.22268,0.28005,0.1368,0.53875,0.19396,0.23553,0.1007,1.78322,2.71866,1.844,1.17461,0.00082675,0.00082675,0.00082675
16,438.573,1.96256,2.90846,2.29217,1.25041,0.56682,0.18277,0.22105,0.10228,0.4808,0.17941,0.20293,0.0944,1.91804,2.83618,1.79491,1.20653,0.000814375,0.000814375,0.000814375
17,466.484,1.94702,2.91025,2.32803,1.23992,0.54325,0.25624,0.2246,0.11497,0.508,0.24235,0.19621,0.09174,1.8413,2.80272,1.89259,1.17528,0.000802,0.000802,0.000802
18,494.137,1.93192,2.79715,2.12875,1.24834,0.54445,0.30461,0.23346,0.12789,0.50978,0.29337,0.21803,0.10316,1.79239,2.68293,1.73625,1.16152,0.000789625,0.000789625,0.000789625
19,521.985,1.87799,2.69924,2.20709,1.24439,0.52422,0.19142,0.29225,0.14872,0.56651,0.14921,0.23684,0.1127,1.73243,2.80698,1.75193,1.14201,0.00077725,0.00077725,0.00077725
20,549.97,1.9089,2.88376,2.15056,1.24703,0.77735,0.18934,0.25237,0.13053,0.53191,0.23531,0.2167,0.11611,1.72913,2.58504,1.68881,1.1257,0.000764875,0.000764875,0.000764875
21,578.023,1.82078,2.70014,2.0771,1.16987,0.70705,0.24027,0.32359,0.15117,0.51228,0.16704,0.1988,0.10342,1.76958,2.69077,1.75966,1.18093,0.0007525,0.0007525,0.0007525
22,605.906,1.90308,2.76929,2.19645,1.22921,0.67007,0.28897,0.31081,0.14619,0.58371,0.22496,0.2131,0.10297,1.7534,2.64243,1.71313,1.13817,0.000740125,0.000740125,0.000740125
23,634.141,1.80734,2.70107,2.06377,1.23319,0.58641,0.31277,0.29924,0.14255,0.5153,0.24126,0.21549,0.10585,1.71272,2.62987,1.77709,1.17628,0.00072775,0.00072775,0.00072775
24,661.969,1.8858,2.8701,2.09601,1.21665,0.54351,0.28663,0.2566,0.12913,0.51219,0.26906,0.23264,0.1135,1.68625,2.66635,1.88276,1.14468,0.000715375,0.000715375,0.000715375
25,689.923,1.79194,2.7181,2.06156,1.20783,0.87487,0.21616,0.35713,0.15962,0.51856,0.32433,0.27213,0.12745,1.66081,2.6147,1.7545,1.15032,0.000703,0.000703,0.000703
26,717.891,1.73832,2.66337,2.01163,1.16348,0.56325,0.30841,0.30206,0.16722,0.82885,0.15133,0.24004,0.12009,1.6805,2.59852,1.95281,1.16688,0.000690625,0.000690625,0.000690625
27,746.136,1.73152,2.74912,1.94966,1.18737,0.49213,0.25694,0.27447,0.13719,0.80471,0.16806,0.24096,0.12465,1.64639,2.46204,1.70147,1.12789,0.00067825,0.00067825,0.00067825
28,774.011,1.86075,2.82397,2.07306,1.13399,0.61483,0.25987,0.31114,0.15559,0.77991,0.17045,0.22489,0.11687,1.67117,2.53503,2.10281,1.11358,0.000665875,0.000665875,0.000665875
29,801.588,1.75407,2.64276,1.95915,1.17707,0.4492,0.43382,0.42215,0.1842,0.31022,0.29087,0.28822,0.1381,1.61738,2.56117,1.6409,1.1149,0.0006535,0.0006535,0.0006535
30,829.538,1.72892,2.70801,1.90519,1.16255,0.70874,0.34574,0.30494,0.1537,0.6663,0.27688,0.24492,0.11947,1.63386,2.52684,1.662,1.11005,0.000641125,0.000641125,0.000641125
31,857.388,1.80746,2.5952,1.96313,1.15985,0.81778,0.25026,0.4433,0.22958,0.78369,0.24052,0.43624,0.1667,1.59782,2.59027,1.43448,1.0913,0.00062875,0.00062875,0.00062875
32,885.547,1.75616,2.67128,1.88786,1.15383,0.61442,0.2655,0.34164,0.15946,0.81696,0.18,0.24956,0.12676,1.63162,2.63349,1.55842,1.13093,0.000616375,0.000616375,0.000616375
33,913.353,1.64973,2.47553,1.86055,1.15208,0.64818,0.32124,0.349,0.17695,0.56814,0.27027,0.28353,0.13725,1.56973,2.42634,1.52144,1.10847,0.000604,0.000604,0.000604
34,941.458,1.68037,2.55141,1.66937,1.1553,0.51155,0.28529,0.40415,0.19499,0.45758,0.3724,0.3302,0.15165,1.53472,2.44925,1.53184,1.09526,0.000591625,0.000591625,0.000591625
35,968.974,1.7229,2.56007,1.83814,1.14661,0.4827,0.44392,0.35271,0.18209,0.45625,0.3768,0.32394,0.15765,1.56603,2.41954,1.70641,1.10801,0.00057925,0.00057925,0.00057925
36,997.235,1.71058,2.65233,1.78017,1.13927,0.64141,0.31266,0.39478,0.20258,0.46665,0.29377,0.32986,0.15603,1.54958,2.44633,1.47092,1.07344,0.000566875,0.000566875,0.000566875
